id,nombre,tipo,estado,lat,lng,direccion,barrio,necesidades,voluntarios_hay,voluntarios_faltan,contacto,actualizado
i5z78esc6x5i,EDIFICIO KALUKI PALMETO CALI,rescate,urgente,,,EDIFICIO KALUKI PALMETO CALI,,Voluntarios | NECESITAMOS AYUDA POR FAVOR SACAR ANIMALITOS,0,0,,2026-08-12T21:48:19.295Z
9i3gt5qrx9nr,"edificio kaluki en palmeto,cali.",rescate,urgente,,,"edificio kaluki en palmeto,cali.",,Voluntarios | Agua | Comida | Se necesitan personas para poder rescatar | hay muchos animales que se deben evacuar,0,0,,2026-08-12T21:11:14.505Z
rnvbt4zvhm3w,Edifico Vanessa,rescate,urgente,,,Edifico Vanessa,,Cascos con araña | Baldes | Gafas | linternas,7,0,,2026-08-12T20:53:25.542Z
cjm6twrpk3am,Calle 14 carera 35,rescate,urgente,,,Calle 14 carera 35,,Agua | Comida,0,0,,2026-08-12T20:47:37.470Z
6mrfe6fiey3q,Correg. San Francisco de Toro (Valle),rescate,urgente,,,Correg. San Francisco de Toro (Valle),,Agua | Comida | Linternas | Voluntarios | Carpas | Guantes de obra | Gafas de seguridad | Tapabocas | Colchonetas | Electrolitos | Pañales | Comida para animales | Botiquín,0,0,,2026-08-12T19:48:20.572Z
b3eunhji5fik,"Calle de Clara Palacios, 6",rescate,urgente,,,"Calle de Clara Palacios, 6",,Barras de demolición | Picas | Percutores | Baldes | Palas | Costales | Botiquín | Carpas,0,0,,2026-08-12T19:48:19.640Z
iu2spe77zg3b,Refugio,rescate,urgente,,,Refugio,,Linternas | Palas | Botiquín | Agua | Valentina,0,0,,2026-08-12T19:48:19.409Z
x7ufqmixvwvj,Quien necesita ????,rescate,urgente,,,Quien necesita ????,,Agua | Comida,0,0,,2026-08-12T19:48:19.131Z
hrkzys7amwei,Clínica veterinaria cimivet,rescate,urgente,,,Clínica veterinaria cimivet,,Linternas | Baldes | Gafas de seguridad | Guantes de obra | Cascos | Auxiliar veterinario,0,0,,2026-08-12T19:48:18.697Z
snuae22k2633,La cumbre,rescate,urgente,,,La cumbre,,Agua | Comida | Linternas | Tapabocas | Botiquín | Colchonetas | Carpas | Voluntarios,0,0,,2026-08-12T19:48:17.049Z
j8erfdbvubdq,Cra28E1#28D3-52  lo encuentras como parqueadero los robles  pero ahi hay unas torres,rescate,urgente,,,Cra28E1#28D3-52  lo encuentras como parqueadero los robles  pero ahi hay unas torres,,Botiquín | Carpas | Colchonetas | Comida para animales | Pañales | Linternas | Electrolitos,0,0,,2026-08-12T19:48:16.854Z
prirwva9zf63,Ulloa valle del Cauca,rescate,urgente,,,Ulloa valle del Cauca,,Agua | Comida | Linternas | Comida para animales | Colchonetas | Carpas | Están sin agua y energía,0,0,,2026-08-12T19:48:16.165Z
j3beqe4kkup7,Corregimiento la María - la cumbre valle,rescate,urgente,,,Corregimiento la María - la cumbre valle,,Agua | Comida,0,0,,2026-08-12T19:48:14.947Z
6mfe5ga2yuy2,Calle 21 11 b - 52 barrio obrero residencias la reina,rescate,urgente,,,Calle 21 11 b - 52 barrio obrero residencias la reina,,Agua | Comida | Voluntarios | Botiquín | Colchonetas | Pañales | Tapabocas | Carpas | Electrolitos | Comida para animales | Hay muchas familias de escasos recursos ahí | Niños/ Bebés | mujeres enfermas | adultos mayores | Están necesitando útiles de aseo | agua | alimentos | anoche unos carros les llevaron comida porque en el día no tuvieron con que comer; Necesitan ayuda urgente | por favor,0,0,,2026-08-12T19:48:13.851Z
ts5zgacq7b7y,Baudó chocó,rescate,urgente,,,Baudó chocó,,Botiquín | Agua | medicamento,0,0,,2026-08-12T19:48:13.022Z
vgqkkdtaknai,Atanacio girardot Cali,rescate,urgente,,,Atanacio girardot Cali,,Voluntarios,0,0,,2026-08-12T19:48:11.721Z
snkp8u2rc342,Buenaventura,rescate,urgente,,,Buenaventura,,Voluntarios | Carpas | Colchonetas | Pañales | Botiquín | Guantes de obra | Linternas | Agua | Palas | Picas | Porras | Electrolitos | Comida para animales,0,1,,2026-08-12T19:48:10.988Z
2rvum466,Punto médico BGD (45 con 8B),salud,urgente,,,Calle 45 con Octava B,,Carpa para el punto médico,0,0,Coord. Luz Helena Mejía · 350 3676707,2026-08-12T18:08:15.198Z
aezu8ydh,x,rescate,urgente,,-76.0,,,,0,0,,2026-08-12T05:16:50.021Z
riyhubjp,Clínica Alba — evacuación,salud,urgente,,,Clínica Alba,,Apoyo para evacuar pacientes,0,0,,2026-08-12T05:14:11.077Z
w7seafzh,Edificio Marisol,rescate,urgente,,,,,,0,0,,2026-08-12T05:14:09.955Z
