id,nombre,tipo,estado,lat,lng,direccion,barrio,necesidades,voluntarios_hay,voluntarios_faltan,contacto,actualizado
tes5hdp8vfas,Corregimiento Bazán bocana,rescate,urgente,3.879724576651858,-77.00557186249071,Corregimiento Bazán bocana,,Colchonetas | Botiquín | Carpas | Pañales | Voluntarios | Brayan pretel,0,0,,2026-08-12T21:50:08.401Z
3tfs3tcdgkia,Norte del Valle,rescate,urgente,4.805160222703127,-75.69773243775474,Norte del Valle,,Tengo un equipo de 18 médicos disponibles para emergencias donde requieran personal | escribir al 3508537356 en WPP,0,0,,2026-08-12T21:49:53.331Z
qdgra9yakrxi,Restrepo valle,rescate,urgente,3.822009,-76.5222535,Restrepo valle,,Agua | Carpas | Linternas | Materiales de construcción | ropa. | Voluntarios | Guantes de obra | Botiquín | Comida,0,0,,2026-08-12T21:47:58.370Z
a4wqh6u9pjws,"Cra. 27 #11-43 a 11-1, Pereira, Risaralda",rescate,urgente,4.796789919766716,-75.69039977154718,"Cra. 27 #11-43 a 11-1, Pereira, Risaralda",,Voluntarios | Guantes de obra | Tapabocas | Gafas de seguridad | Linternas | Palas | Picas | Discos de pulidora | martillo neumático,0,26,,2026-08-12T21:47:30.678Z
xfuskgj8a5w5,"Quibdo, ciudadela mía",rescate,urgente,5.7012866,-76.6342535,"Quibdo, ciudadela mía",,Agua | Comida | Colchonetas | Carpas | Comida para animales | Voluntarios | Linternas | Tapabocas | Botiquín | Electrolitos | Guantes de obra | Gafas de seguridad | Baldes | Costales | Cintas de seguridad | No tienen ayudas | sin energía | sin agua | poca comunicación,0,1,,2026-08-12T21:37:02.379Z
ktpvju23u25n,Carrera 61 #3-167,rescate,urgente,3.526728879415685,-76.31420976785668,Carrera 61 #3-167,,Voluntarios | Agua | Gafas de seguridad | Linternas | Gasas,0,0,,2026-08-12T21:32:30.438Z
59jjuvimvd9k,casa,rescate,urgente,4.6842252,-74.1380914,casa,,,0,0,,2026-08-12T21:26:18.803Z
sn367eapw7nt,Bomberos zarzal,rescate,urgente,4.3928378,-76.0733251,Bomberos zarzal,Centro,Agua | Tapabocas | Colchonetas | Carpas | Comida para animales | Guantes de obra | Palas | Pañales,6,51,3164479536,2026-08-12T21:24:07.969Z
v76tgqk7j9wr,31 Cra. 63a los pinos,rescate,urgente,3.8692372,-77.0034014,31 Cra. 63a los pinos,,Voluntarios | centro de acopio para donar comida,0,0,,2026-08-12T21:24:06.555Z
a39q5jna6ghv,Bogota,rescate,urgente,4.6533817,-74.0836331,Bogota,,,0,0,,2026-08-12T21:18:54.489Z
